% time	cellId	IMSI	RNTI	rsrp	sinr
2.28321	1	1	1	2.0445e-10	431018
2.28421	1	1	1	2.04581e-10	431295
2.28521	1	1	1	2.04713e-10	431573
2.28621	1	1	1	2.04845e-10	431850
2.28721	1	1	1	2.04976e-10	432128
2.28821	1	1	1	2.05108e-10	432406
2.28921	1	1	1	2.0524e-10	432684
2.29021	1	1	1	2.05372e-10	432962
2.29121	1	1	1	2.05504e-10	433241
2.29221	1	1	1	2.05636e-10	433519
2.29321	1	1	1	2.05768e-10	433798
2.29421	1	1	1	2.05901e-10	434077
2.29521	1	1	1	2.06033e-10	434356
2.29621	1	1	1	2.06166e-10	434635
2.29721	1	1	1	2.06298e-10	434915
2.29821	1	1	1	2.06431e-10	435194
2.29921	1	1	1	2.06564e-10	435474
2.30021	1	1	1	2.06696e-10	435754
2.30121	1	1	1	2.06829e-10	436034
2.30221	1	1	1	2.06962e-10	436315
2.30321	1	1	1	2.07095e-10	436595
2.30421	1	1	1	2.07228e-10	436876
2.30521	1	1	1	2.07362e-10	437157
2.30621	1	1	1	2.07495e-10	437438
2.30721	1	1	1	2.07628e-10	437719
2.30821	1	1	1	2.07762e-10	438001
2.30921	1	1	1	2.07896e-10	438282
2.31021	1	1	1	2.08029e-10	438564
2.31121	1	1	1	2.08163e-10	438846
2.31221	1	1	1	2.08297e-10	439128
2.31321	1	1	1	2.08431e-10	439411
2.31421	1	1	1	2.08565e-10	439693
2.31521	1	1	1	2.08699e-10	439976
2.31621	1	1	1	2.08833e-10	440259
2.31721	1	1	1	2.08967e-10	440542
2.31821	1	1	1	2.09102e-10	440825
2.31921	1	1	1	2.09236e-10	441108
2.32021	1	1	1	2.09371e-10	441392
2.32121	1	1	1	2.09505e-10	441676
2.32221	1	1	1	2.0964e-10	441960
2.32321	1	1	1	2.09775e-10	442244
2.32421	1	1	1	2.0991e-10	442528
2.32521	1	1	1	2.10044e-10	442813
2.32621	1	1	1	2.10179e-10	443097
2.32721	1	1	1	2.10315e-10	443382
2.32821	1	1	1	2.1045e-10	443667
2.32921	1	1	1	2.10585e-10	443952
2.33021	1	1	1	2.1072e-10	444238
2.33121	1	1	1	2.10856e-10	444523
2.33221	1	1	1	2.10991e-10	444809
2.33321	1	1	1	2.11127e-10	445095
2.33421	1	1	1	2.11263e-10	445381
2.33521	1	1	1	2.11399e-10	445667
2.33621	1	1	1	2.11534e-10	445954
2.33721	1	1	1	2.1167e-10	446240
2.33821	1	1	1	2.11806e-10	446527
2.33921	1	1	1	2.11943e-10	446814
2.34021	1	1	1	2.12079e-10	447101
2.34121	1	1	1	2.12215e-10	447389
2.34221	1	1	1	2.12351e-10	447676
2.34321	1	1	1	2.12488e-10	447964
2.34421	1	1	1	2.12624e-10	448252
